kimble_id,resource_bu,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,month_end_title,client_unit,legal_entity,month_end_helper,adjustments,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01
KE012734-001,PSU PL,,,,,,397.42,394.42,396.3,396.38,397.05,398.98,423.26,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE012747-001,PSU UK,,,,,,1166.67,1166.67,1165.09,1165.18,1166.67,1200,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE012754-001,PSU PL,,,,,,569,569,569,569,569,569,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE012754-001,PSU UK,,,,,,1250,1250,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE012757-001,PSU UK,,,,,,1250,1250,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE012775-001,PSU PL,,,,,,376.37,376.4,376.58,376.63,376.58,376.58,382.14,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE012775-001,PSU UK,,,,,,660,660,660,660,660,660,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE012776-001,PSU UK,,,,1650,1650,1650,1650,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE012779-001,PSU UK,,,,1300,1300,1300,1300,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE012914-001,PSU PL,,379.39,378.17,378.17,378.93,379.73,379.49,378.17,377.45,378.17,377.14,372.56,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE013050-001,PSU PL,,,,,,,452.1,453,452.09,453.17,452.37,478.21,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE013186-001,PSU PL,,,,450,450,450,450,450,450,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE013186-001,PSU UK,,,,812.5,812.5,812.5,812.5,812.5,812.5,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE013186-011,PSU PL,,,,375,375,375,375,375,375,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE013196-001,PSU UK,,,,900,900,900,900,900,900,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE013198-001,PSU UK,,1012.5,1012.5,1012.5,1012.5,,,,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE013200-001,PSU PL,,,,386.5,386.5,386.5,386.5,386.5,386.5,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE013200-011,PSU PL,,,,386.5,386.5,386.5,386.5,386.5,386.5,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE013401-001,PSU PL,,,374.53,374.27,373.37,372.75,373.27,379.53,,,,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE013454-001,PSU PL,,,,378.17,378.17,378.17,378.17,378.17,378.17,378.17,378.17,378.17,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
KE013455-001,PSU PL,,,378.17,378.17,378.17,378.17,378.17,378.17,378.17,378.17,378.17,,2019-01-01,HSBC,GFT FINANCIAL LTD.,2019-01-01,0.0,,,,,,,,,,,,
